name,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,type,max_i_ka,endtemp_degree
АСБл-240                      ,0.129,0.075,410,cs,100,0
АСБл-25                       ,1.25,0.099,200,cs,100,0
АСБл-35                       ,0.894,0.095,210,cs,100,0
АСБл-50                       ,0.625,0.09,226,cs,100,0
АСБл-70                       ,0.447,0.086,254,cs,100,0
АСБл-95                       ,0.326,0.083,288,cs,100,0
АСБлУ-120                     ,0.258,0.08,307,cs,100,0
АСБлУ-150                     ,0.206,0.079,336,cs,100,0
АСБлУ-185                     ,0.167,0.077,370,cs,100,0
АСБлУ-240                     ,0.129,0.075,410,cs,100,0
АСБлУ-25                      ,1.25,0.099,200,cs,100,0
АСБлУ-35                      ,0.894,0.095,210,cs,100,0
АСБлУ-50                      ,0.625,0.09,226,cs,100,0
АСБлУ-70                      ,0.447,0.086,254,cs,100,0
АСБлУ-95                      ,0.326,0.083,288,cs,100,0
АСБУ-120                      ,0.258,0.08,307,cs,100,0
АСБУ-150                      ,0.206,0.079,336,cs,100,0
АСБУ-185                      ,0.167,0.077,370,cs,100,0
АСБУ-240                      ,0.129,0.075,410,cs,100,0
АСБУ-25                       ,1.25,0.099,200,cs,100,0
АСБУ-35                       ,0.894,0.095,210,cs,100,0
АСБУ-50                       ,0.625,0.09,226,cs,100,0
АСБУ-70                       ,0.447,0.086,254,cs,100,0
АСБУ-95                       ,0.326,0.083,288,cs,100,0
АСБШв-120                     ,0.258,0.08,307,cs,100,0
АСБШв-150                     ,0.206,0.079,336,cs,100,0
АСБШв-185                     ,0.167,0.077,370,cs,100,0
АСБШв-240                     ,0.129,0.075,410,cs,100,0
АСБШв-25                      ,1.25,0.099,200,cs,100,0
АСБШв-35                      ,0.894,0.095,210,cs,100,0
АСБШв-50                      ,0.625,0.09,226,cs,100,0
АСБШв-70                      ,0.447,0.086,254,cs,100,0
АСБШв-95                      ,0.326,0.083,288,cs,100,0
АСИ-35                        ,0.91,0.385,4.97,cs,100,0
АСИ-50                        ,0.63,0.374,4.97,cs,100,0
АСИ-70                        ,0.45,0.364,4.97,cs,100,0
АСУ-50                        ,0.63,0.374,4.97,cs,100,0
АСШвУ-120                     ,0.258,0.08,307,cs,100,0
АСШвУ-150                     ,0.206,0.079,336,cs,100,0
АСШвУ-185                     ,0.167,0.077,370,cs,100,0
АСШвУ-240                     ,0.129,0.075,410,cs,100,0
АСШвУ-25                      ,1.25,0.099,200,cs,100,0
АСШвУ-35                      ,0.894,0.095,210,cs,100,0
АСШвУ-50                      ,0.625,0.09,226,cs,100,0
АСШвУ-70                      ,0.447,0.086,254,cs,100,0
АСШвУ-95                      ,0.326,0.083,288,cs,100,0
АШВ-70                        ,0.447,0.086,254,cs,100,0
АШВ-95                        ,0.326,0.083,288,cs,100,0
АШВУ-120                      ,0.258,0.08,307,cs,100,0
АШВУ-95                       ,0.326,0.083,288,cs,100,0
М-10                          ,1.84,0.355,4.97,cs,100,0
М-120                         ,0.158,0.292,4.97,ol,100,0
М-150                         ,0.123,0.287,4.97,ol,100,0
М-16                          ,1.2,0.333,4.97,ol,100,0
М-185                         ,0.103,0.28,4.97,ol,100,0
М-240                         ,0.078,0.305,4.97,ol,100,0
М-25                          ,0.74,0.319,4.97,ol,100,0
М-35                          ,0.54,0.308,4.97,ol,100,0
М-4,4.65,0.385,4.97,ol,100,0
М-50                          ,0.39,0.297,4.97,ol,100,0
М-6                           ,03.06,0.371,4.97,ol,100,0
М-70                          ,0.28,0.283,4.97,ol,100,0
М-95                          ,0.2,0.274,4.97,ol,100,0
ПС-25                         ,1.146,0.396,4.97,ol,100,0
ПС-35                         ,0.91,0.385,4.97,ol,100,0
САПсш 2х10                    ,03.08,0.082,24,ol,100,0
САПсш 2х16                    ,1.91,0.0754,24,ol,100,0
САПсш 2х25                    ,1.165,0.0717,24,ol,100,0
САСПсш 3х120+1х120            ,0.253,0.0745,24,ol,100,0
САСПсш 3х120+1х25+1х120       ,0.253,0.0745,24,ol,100,0
САСПсш 3х120+1х35+1х120       ,0.253,0.0745,24,ol,100,0
САСПсш 3х16+1х25              ,1.91,0.0853,24,ol,100,0
САСПсш 3х25+1х25              ,1.165,0.099,24,ol,100,0
САСПсш 3х25+1х25+1х25         ,1.165,0.099,24,ol,100,0
САСПсш 3х35+1х25+1х35         ,0.85,0.095,24,ol,100,0
САСПсш 3х35+1х35              ,0.85,0.095,24,ol,100,0
